time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	normalized1	normalized2	normalized3
1.782	4.18409	0.02908	0.00717	4.8159	0.55589	0.3265	0.01564375519862354	0.022626554109764243	0.08984274049643731
1.793	3.96481	0.07321	0.05056	4.59832	0.5406500000000001	0.31534	0.014990850542598336	0.02247222415190929	0.08941355726750266
1.804	3.76122	0.10938	0.10287	4.39208	0.52531	0.30787	0.014371974468241146	0.022316881530288876	0.08912628139652222
1.815	3.57202	0.13902	0.14697	4.19779	0.52381	0.30261	0.01378895743717608	0.022301691573807087	0.08892399611119998
1.826	3.39634	0.16966	0.17719	4.01443	0.5227	0.29494	0.013238738677507078	0.022290451006010563	0.08862902878450386
1.837	3.23091	0.19412	0.21364	3.83658	0.50768	0.28820999999999997	0.012705054087590349	0.0221383489084396	0.0883702112996714
1.848	3.07505	0.21756	0.26441	3.67084	0.48549	0.29346	0.012207708662047482	0.02191363881888569	0.08857211201220787
1.859	2.93292	0.24251	0.28974	3.5207	0.48741999999999996	0.27914	0.011757175041973836	0.021933183229558926	0.08802140378296557
1.87	2.80293	0.25731	0.30664	3.38074	0.47823	0.25589	0.011337189125725615	0.02184011942951384	0.0871272720560184
1.881	2.68307	0.28188	0.32452	3.25169	0.47319	0.25157999999999997	0.010949941465738244	0.021789081175735033	0.08696152118534561
1.892	2.57343	0.2899	0.32359	3.13228	0.46897999999999995	0.23276999999999998	0.010591621100925442	0.021746448031209488	0.08623813977528642
1.903	2.4721	0.30906	0.32352	3.0262700000000002	0.47008	0.21505999999999997	0.010273510876707997	0.02175758733262946	0.08555706137166343
1.914	2.38191	0.30598	0.33524	2.9323	0.43967	0.20600999999999997	0.009991529763891156	0.021449636281555363	0.08520902300052917
1.925	2.29793	0.2875	0.33281	2.84093	0.40842999999999996	0.19294	0.009717350618652518	0.021133280121228004	0.08470638636950983
1.936	2.21912	0.29123	0.33953	2.7567500000000003	0.39625	0.19328	0.009464746914524374	0.021009937674595892	0.08471946184422648
1.947	2.14245	0.29732	0.33804	2.67327	0.38367999999999997	0.18238000000000001	0.009214243740128823	0.020882645839278513	0.08430027750772222
1.958	2.06682	0.30565	0.33506	2.59037	0.38171999999999995	0.17108000000000004	0.008965481004654564	0.020862797629475644	0.08386571025978659
1.969	1.99544	0.3086	0.34225	2.51582	0.3818	0.16887	0.008741774588133381	0.02086360776048801	0.0837807196741284
1.98	1.92671	0.31748	0.34602	2.44129	0.39361	0.15824	0.008518128186747416	0.020983203351187942	0.0833719188028403
1.991	1.86001	0.31575	0.34969	2.36823	0.38698	0.15583	0.008298892897799896	0.020916063743538445	0.08327923676146641
2.002	1.79604	0.33031	0.36215	2.30084	0.40791	0.15519000000000002	0.00809667189968638	0.021128014269647652	0.08325462410317626
2.013	1.73318	0.33216	0.37436	2.23551	0.40414	0.16574000000000003	0.007900632460500214	0.02108983684569009	0.08366034839217809
2.024	1.67313	0.32512	0.38073	2.16951	0.38143000000000005	0.17823	0.007702582514284276	0.02085986090455583	0.08414067980162197
2.035	1.61755	0.31424	0.3725	2.11032	0.36319	0.17618999999999999	0.0075249677216097125	0.020675151033737297	0.08406222695332209
2.046	1.56442	0.30453	0.37864	2.05417	0.34850000000000003	0.17312999999999998	0.007356475229488124	0.020526390726592326	0.08394454768087227
2.057	1.51346	0.30362	0.38128	2.00159	0.35116	0.18113	0.007198695439002762	0.020553327582753366	0.08425220590949925
2.068	1.46432	0.3186	0.36719	1.95268	0.36202	0.16920000000000002	0.007051928425829709	0.020663302867681504	0.08379341057605925
2.079	1.4164	0.31325	0.37268	1.90199	0.34545	0.16741	0.006899820065622349	0.020495504481746026	0.08372457204740397
2.09	1.36698	0.32427	0.36903	1.8467900000000002	0.3656	0.15304000000000004	0.006734178292423566	0.020699556230484705	0.08317194095423275
2.101	1.31327	0.33083	0.3876	1.7896999999999998	0.39316	0.17541	0.006562865088946781	0.02097864636424341	0.08403223027603095
2.112	1.26322	0.3272	0.39072	1.736	0.37787	0.18426	0.00640172445088927	0.020823810074505726	0.08437257719144955
2.123	1.2139	0.33251	0.3825	1.68057	0.39388999999999996	0.17001	0.006235392503635491	0.02098603880973121	0.08382456097170773
2.134	1.15832	0.33092	0.38982	1.6201699999999999	0.38752	0.17641	0.006054146795280301	0.020921532127871886	0.08407068755460934
2.145	1.09974	0.33909	0.38631	1.55334	0.39783999999999997	0.17526	0.005853606220952862	0.021026039028466587	0.0840264616842442
2.156	1.04487	0.35507	0.38404	1.47621	0.42659	0.18177	0.005622157851988692	0.021317179861034177	0.08427681856778942
2.167	1.05772	0.31755	0.35813	1.40239	0.42201	0.20736000000000002	0.005400641987902929	0.021270799860576454	0.08526094032660997
2.178	1.19735	0.13334	0.22392	1.36624	0.37525	0.29700000000000004	0.005292164630998291	0.020797278283850865	0.08870825077837531
2.189	1.34457	-0.25449	-0.1351	1.3640700000000001	0.35031	0.42898000000000003	0.005285652988827252	0.020544719940747014	0.09378384240514896
2.2	1.3719	-0.72469	-0.66567	1.3640299999999999	0.37603	0.48635000000000006	0.005285532958556818	0.020805177061221397	0.09599013647719021
2.211	1.26934	-1.11766	-1.14226	1.32673	0.44272	0.48726999999999987	0.005173604731377205	0.021480522526401664	0.0960255171734823
2.222	1.10526	-1.32625	-1.45906	1.25412	0.5134400000000001	0.43726	0.004955719782972067	0.022196678341329663	0.0941022686717779
2.233	0.95655	-1.35367	-1.56353	1.17675	0.58436	0.37422	0.0047235512323852945	0.02291485948378857	0.09167792183019727
2.244	0.84923	-1.27541	-1.51315	1.10251	0.61056	0.3184499999999999	0.004500775050459976	0.02318017739033712	0.0895331594038814
2.255	0.78399	-1.13746	-1.35512	1.0428199999999999	0.6087600000000002	0.2904199999999999	0.004321659879404987	0.023161949442558977	0.08845520188532963
2.266	0.74342	-0.9483	-1.14027	0.99117	0.61468	0.28878000000000004	0.004166670792707212	0.023221899137473762	0.08839213194846109
