time	signal1	signal2	signal3	subtr1	subtr2	subtr3
23.144	1.94243	-0.11056	-0.07771	0.64253	0.31154	0.26667
23.155	1.94337	-0.09219	-0.07761	0.6454900000000001	0.31787	0.26581
23.166	1.94142	-0.08819	-0.07173	0.6469799999999999	0.32716	0.26664
23.177	1.94096	-0.09427	-0.06927	0.65036	0.32001999999999997	0.27424
23.188	1.94	-0.09422	-0.068	0.65425	0.32499	0.28043
23.199	1.93585	-0.10188	-0.06223	0.6530400000000001	0.31204	0.28012
23.21	1.93244	-0.11157	-0.06216	0.6509199999999999	0.30452	0.27269
23.221	1.93016	-0.11704	-0.06992	0.6517400000000002	0.28900000000000003	0.26887
23.232	1.92692	-0.10219	-0.07836	0.6515899999999999	0.32028	0.26192000000000004
23.243	1.9187	-0.0932	-0.0841	0.64592	0.34728	0.25468999999999997
23.254	1.9097	-0.10322	-0.07026	0.6387	0.33789	0.26692
23.265	1.90313	-0.10201	-0.07149	0.63443	0.34301000000000004	0.26313
23.276	1.89632	-0.08932	-0.0747	0.6322700000000001	0.34576999999999997	0.26097000000000004
23.287	1.8899	-0.08718	-0.07982	0.63032	0.34013000000000004	0.24989
23.298	1.88364	-0.09361	-0.07144	0.6275299999999999	0.34452000000000005	0.25562
23.309	1.87994	-0.1016	-0.05946	0.62398	0.34008000000000005	0.26844
23.32	1.88032	-0.10181	-0.05965	0.62669	0.33299	0.27354
23.331	1.88259	-0.10304	-0.06161	0.63449	0.32386	0.2788
23.342	1.88606	-0.08635	-0.06085	0.6402300000000001	0.33267	0.28614
23.353	1.892	-0.07252	-0.06068	0.64652	0.33648999999999996	0.28867
23.364	1.89996	-0.07739	-0.05806	0.6554500000000001	0.32689999999999997	0.2792
23.375	1.91163	-0.08636	-0.05601	0.6677299999999999	0.32499	0.27128
23.386	1.92675	-0.08804	-0.05103	0.68299	0.33105999999999997	0.27831
23.397	1.94334	-0.08341	-0.04801	0.69913	0.34214	0.28188
23.408	1.95857	-0.08246	-0.05388	0.7146599999999999	0.33955	0.26786000000000004
23.419	1.9682	-0.07867	-0.05502	0.72542	0.33097	0.26172
23.43	1.97796	-0.08002	-0.05567	0.73515	0.32572	0.26727
23.441	1.99318	-0.0854	-0.05311	0.7531999999999999	0.32394999999999996	0.27132
23.452	2.00819	-0.08982	-0.05251	0.77345	0.33638	0.27193
23.463	2.01763	-0.08215	-0.06046	0.78447	0.35099	0.25965
23.474	2.02603	-0.07739	-0.05505	0.7938000000000001	0.34895	0.26057
23.485	2.03701	-0.06913	-0.04533	0.8070999999999999	0.34924999999999995	0.27379000000000003
23.496	2.04908	-0.05582	-0.04587	0.82378	0.35098	0.27947
23.507	2.06138	-0.04401	-0.05708	0.8424900000000002	0.34949	0.27344999999999997
23.518	2.07552	-0.04793	-0.05905	0.86087	0.33547000000000005	0.27043
23.529	2.08894	-0.05533	-0.06765	0.8782099999999999	0.34229	0.26595
23.54	2.09869	-0.06742	-0.06558	0.89164	0.32811	0.27351000000000003
23.551	2.10926	-0.07508	-0.06036	0.90292	0.33217	0.27257
23.562	2.11371	-0.06366	-0.05856	0.9114700000000002	0.35604	0.26449
23.573	2.11649	-0.04317	-0.0478	0.9195500000000003	0.3798	0.28379
23.584	2.11927	-0.03671	-0.03725	0.9278700000000002	0.39454	0.29525
23.595	2.11904	-0.05685	-0.0315	0.93424	0.36496	0.29429000000000005
23.606	2.11907	-0.07727	-0.04506	0.9373299999999998	0.31821	0.2819
23.617	2.11925	-0.07582	-0.05434	0.94031	0.32996	0.28248
23.628	2.12029	-0.06627	-0.05867	0.9429699999999999	0.34496	0.28628
23.639	2.12659	-0.06051	-0.06048	0.9532700000000003	0.34848	0.28343
23.65	2.14226	-0.03254	-0.07656	0.9720899999999999	0.35882	0.27221999999999996
23.661	2.16569	-0.02071	-0.07509	0.9992500000000002	0.39219	0.27517
23.672	2.20052	-0.00836	-0.06614	1.03518	0.43178	0.28554999999999997
23.683	2.24445	0.00408	-0.05414	1.07963	0.45892	0.28967
23.694	2.3021	0.01826	-0.04715	1.13939	0.4662	0.28098999999999996
23.705	2.37263	0.01464	-0.04043	1.2140900000000001	0.46871999999999997	0.28725
23.716	2.45373	0.0281	-0.02976	1.2974	0.47443	0.30991
23.727	2.54486	0.03608	-0.03433	1.3916	0.47352	0.31476000000000004
23.738	2.64696	0.07193	-0.0292	1.49909	0.49407	0.32311
23.749	2.75945	0.10397	-0.03061	1.61756	0.5268200000000001	0.32867
23.76	2.87973	0.1362	-0.0269	1.73962	0.55229	0.32802000000000003
23.771	3.00647	0.15506	-0.02783	1.86556	0.56213	0.31042
23.782	3.14084	0.17774	-0.02557	2.0007599999999996	0.60225	0.31725000000000003
23.793	3.28053	0.20389	-0.00564	2.13938	0.62964	0.34504
23.804	3.42954	0.2341	0.01599	2.2881	0.63938	0.35694
23.815	3.59859	0.26636	0.0298	2.45848	0.66153	0.37446999999999997
23.826	3.8023	0.30774	0.04123	2.66381	0.70998	0.38815
23.837	4.05723	0.36945	0.04733	2.9208099999999995	0.76491	0.39319
23.848	4.38419	0.45488	0.05172	3.24664	0.84512	0.39615
23.859	4.79943	0.54778	0.06825	3.66311	0.94499	0.40424000000000004
23.87	5.29816	0.65598	0.09489	4.1610000000000005	1.06054	0.42332000000000003
23.881	5.86102	0.75258	0.12823	4.72291	1.1549	0.45957000000000003
23.892	6.46349	0.857	0.15252	5.32774	1.26004	0.49551
23.903	7.05285	0.99079	0.19282	5.9146	1.4146	0.55091
23.914	7.5745	1.09008	0.22738	6.434159999999999	1.5255299999999998	0.58215
23.925	7.97922	1.14883	0.24204	6.83801	1.58241	0.60184
23.936	8.22954	1.19011	0.25529	7.08817	1.61138	0.61229
23.947	8.31857	1.1969	0.25325	7.178179999999999	1.6082	0.59324
23.958	8.26611	1.17582	0.23811	7.1264899999999995	1.5894300000000001	0.56984
23.969	8.10263	1.14987	0.23282	6.95996	1.5730899999999999	0.56188
23.98	7.87134	1.11556	0.23481	6.7258700000000005	1.54155	0.56994
23.991	7.60264	1.06839	0.23448	6.4557400000000005	1.50464	0.57145
24.002	7.33114	1.01007	0.22033	6.1837100000000005	1.43493	0.55477
24.013	7.08354	0.97054	0.2148	5.93465	1.38307	0.5508299999999999
24.024	6.88404	0.93235	0.22139	5.7317599999999995	1.35255	0.55446
24.035	6.76017	0.89441	0.21983	5.6068299999999995	1.31075	0.54963
24.046	6.75835	0.90066	0.22254	5.60439	1.3031000000000001	0.54997
24.057	6.99557	0.97814	0.25752	5.84111	1.37238	0.59133
24.068	7.77266	1.18126	0.3382	6.6167	1.57535	0.67591
24.079	9.66844	1.65068	0.50707	8.50896	2.06265	0.84892
24.09	13.48396	2.59032	0.83158	12.32108	3.0105600000000003	1.18536
24.101	20.43227	4.32542	1.3961	19.2658	4.74444	1.74641
24.112	32.14695	7.27554	2.33293	30.977389999999996	7.705620000000001	2.67083
24.123	51.63412	12.29241	3.8882	50.45864	12.72516	4.2250499999999995
24.134	83.50994	20.49782	6.31856	82.32741	20.93243	6.65914
24.145	131.39177	32.31652	9.60298	130.20291	32.754079999999995	9.941370000000001
