time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	nornmalized1	nornmalized2	nornmalized3
1.650	9.28761	0.43676	0.51910	10.19226	1.61776	1.61436	0.02494	0.03338	0.13775
1.661	8.61017	0.32663	0.38082	9.50569	1.53455	1.49383	0.02332	0.03254	0.13330
1.672	8.02419	0.21464	0.24278	8.90540	1.40996	1.34328	0.02191	0.03128	0.12774
1.683	7.51585	0.11888	0.12811	8.37999	1.28444	1.19056	0.02067	0.03000	0.12210
1.694	7.07412	0.02669	0.03367	7.92094	1.14963	1.03794	0.01959	0.02864	0.11647
1.705	6.68204	-0.04882	-0.04673	7.50735	1.02907	0.89086	0.01862	0.02742	0.11104
1.716	6.32697	-0.07483	-0.09382	7.12706	0.87197	0.70804	0.01773	0.02583	0.10429
1.727	6.00070	-0.08324	-0.10818	6.66610	0.60798	0.46783	0.01664	0.02315	0.09543
1.738	5.69836	-0.08917	-0.09682	6.24163	0.49980	0.36931	0.01564	0.02206	0.09179
1.749	5.41832	-0.06596	-0.07087	5.97374	0.55697	0.38904	0.01501	0.02264	0.09252
1.760	5.15217	-0.03504	-0.04250	5.75097	0.58041	0.37724	0.01449	0.02287	0.09208
1.771	4.89810	-0.00977	-0.00299	5.51972	0.56864	0.36486	0.01395	0.02276	0.09162
1.782	4.65872	0.02908	0.05171	5.29053	0.55589	0.37104	0.01341	0.02263	0.09185
1.793	4.43250	0.07321	0.09723	5.06601	0.54065	0.36201	0.01288	0.02247	0.09152
1.804	4.22074	0.10938	0.12527	4.85160	0.52531	0.33027	0.01237	0.02232	0.09035
1.815	4.02201	0.13902	0.16110	4.64778	0.52381	0.31674	0.01190	0.02230	0.08985
1.826	3.83672	0.16966	0.20101	4.45481	0.52270	0.31876	0.01144	0.02229	0.08992
1.837	3.66263	0.19412	0.22687	4.26830	0.50768	0.30144	0.01100	0.02214	0.08928
1.848	3.49569	0.21756	0.24533	4.09148	0.48549	0.27438	0.01059	0.02191	0.08828
1.859	3.33855	0.24251	0.27058	3.92633	0.48742	0.25998	0.01020	0.02193	0.08775
1.870	3.19140	0.25731	0.29528	3.76921	0.47823	0.24453	0.00983	0.02184	0.08718
1.881	3.05120	0.28188	0.30952	3.61982	0.47319	0.23658	0.00948	0.02179	0.08689
1.892	2.92098	0.28990	0.31569	3.47983	0.46898	0.22487	0.00915	0.02175	0.08646
1.903	2.79696	0.30906	0.32206	3.35113	0.47008	0.21360	0.00885	0.02176	0.08604
1.914	2.67740	0.30598	0.33554	3.22779	0.43967	0.20631	0.00856	0.02145	0.08577
1.925	2.56309	0.28750	0.34874	3.10609	0.40843	0.20887	0.00827	0.02113	0.08587
1.936	2.45442	0.29123	0.35682	2.99205	0.39625	0.21057	0.00800	0.02101	0.08593
1.947	2.34861	0.29732	0.36060	2.87943	0.38368	0.20494	0.00774	0.02088	0.08572
1.958	2.24225	0.30565	0.36305	2.76580	0.38172	0.19907	0.00747	0.02086	0.08550
1.969	2.14223	0.30860	0.36459	2.66261	0.38180	0.19121	0.00723	0.02086	0.08521
1.980	2.04448	0.31748	0.37414	2.55906	0.39361	0.18636	0.00698	0.02098	0.08504
1.991	1.94909	0.31575	0.38844	2.45731	0.38698	0.19458	0.00674	0.02092	0.08534
2.002	1.86292	0.33031	0.39185	2.36772	0.40791	0.18489	0.00653	0.02113	0.08498
